,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018
P001,1.000,0.055,0.081,0.024,0.067,0.071,0.051,0.000,0.000,0.100,0.053,0.057,0.071,0.000,0.048,0.053,0.077,0.044
P002,0.055,1.000,0.043,0.000,0.037,0.039,0.065,0.000,0.000,0.040,0.143,0.032,0.039,0.000,0.028,0.046,0.049,0.038
P003,0.081,0.043,1.000,0.000,0.056,0.129,0.107,0.083,0.020,0.097,0.154,0.045,0.094,0.029,0.038,0.042,0.045,0.121
P004,0.024,0.000,0.000,1.000,0.108,0.118,0.000,0.000,0.000,0.121,0.000,0.114,0.226,0.000,0.137,0.000,0.089,0.000
P005,0.067,0.037,0.056,0.108,1.000,0.194,0.054,0.030,0.000,0.167,0.056,0.125,0.162,0.024,0.105,0.055,0.125,0.047
P006,0.071,0.039,0.129,0.118,0.194,1.000,0.091,0.069,0.000,0.219,0.094,0.133,0.212,0.053,0.111,0.058,0.133,0.077
P007,0.051,0.065,0.107,0.000,0.054,0.091,1.000,0.000,0.000,0.094,0.148,0.044,0.091,0.000,0.037,0.062,0.044,0.086
P008,0.000,0.000,0.083,0.000,0.030,0.069,0.000,1.000,0.171,0.000,0.040,0.000,0.000,0.348,0.000,0.022,0.000,0.031
P009,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.171,1.000,0.000,0.020,0.000,0.000,0.295,0.000,0.059,0.015,0.017
P010,0.100,0.040,0.097,0.121,0.167,0.219,0.094,0.000,0.000,1.000,0.097,0.136,0.219,0.000,0.113,0.059,0.136,0.079
P011,0.053,0.143,0.154,0.000,0.056,0.094,0.148,0.040,0.020,0.097,1.000,0.045,0.094,0.000,0.038,0.064,0.045,0.121
P012,0.057,0.032,0.045,0.114,0.125,0.133,0.044,0.000,0.000,0.136,0.045,1.000,0.133,0.000,0.109,0.031,0.107,0.060
P013,0.071,0.039,0.094,0.226,0.162,0.212,0.091,0.000,0.000,0.219,0.094,0.133,1.000,0.000,0.176,0.038,0.133,0.077
P014,0.000,0.000,0.029,0.000,0.024,0.053,0.000,0.348,0.295,0.000,0.000,0.000,0.000,1.000,0.000,0.058,0.020,0.000
P015,0.048,0.028,0.038,0.137,0.105,0.111,0.037,0.000,0.000,0.113,0.038,0.109,0.176,0.000,1.000,0.027,0.092,0.033
P016,0.053,0.046,0.042,0.000,0.055,0.058,0.062,0.022,0.059,0.059,0.064,0.031,0.038,0.058,0.027,1.000,0.048,0.036
P017,0.077,0.049,0.045,0.089,0.125,0.133,0.044,0.000,0.015,0.136,0.045,0.107,0.133,0.020,0.092,0.048,1.000,0.039
P018,0.044,0.038,0.121,0.000,0.047,0.077,0.086,0.031,0.017,0.079,0.121,0.060,0.077,0.000,0.033,0.036,0.039,1.000
