sample_id,family,n_variables,n_objectives,n_constraints,n_data_refs,n_index_signatures,index_signatures,variable_names,constraint_names,objective_contract,data_ref_leaves,code_bytes
P001-S04,P001,3,1,6,12,3,[]|[sensors]|[targets],select_sensor|select_target|select_weapon,objective_contract_replay|public_candidate_membership|sensor_membership_bound|solution_view_selected_engagements_mapping|target_membership_bound|weapon_membership_bound,wta.linear_selected_contribution,'sha256': '29f242c8a05a2e8cb3fc9e127502c2f7fe786957faa1e4548cf42b5dedc29f00'}|'sha256': '8a14c2db65e67bebc7dea21ccd5e04023cd2a80e1be783926d43791e674aafd2'}|'sha256': 'f0371647d58ebb2ce792e4fe5f8a4b0f3b6c2601468d32f7209603781f9c1449'}|json'|md'|sensor_target_assignment_cost|sensor_target_detection_probability|sensors|targets|weapon_target_assignment_cost|weapons,15909
P001-S05,P001,3,1,3,6,3,[]|[targets]|[weapons],sensor_selected|target_selected|weapon_selected,C002|C003|radar_support_capacity,wta.linear_selected_contribution,objective_contract_id|replayed_objective_value|selected_engagements|sensors|targets|weapons,15386
P001-S06,P001,2,1,6,8,1,[],sensor_target_assignment|weapon_target_assignment,C001|C002|C003|C004|C005|C006,wta.linear_selected_contribution,minimum_desired_destruction_probability|sensor_target_assignment_cost|sensor_target_detection_probability|sensors|targets|weapon_target_assignment_cost|weapon_target_conditional_destruction_probability|weapons,15847
P001-S07,P001,3,1,6,6,1,[],selected_sensor|selected_target|selected_weapon,public_sensor_membership|public_target_membership|public_weapon_membership|sensor_binary_domain|target_binary_domain|weapon_binary_domain,wta.linear_selected_contribution,json'}|md'|sensors'|targets'|weapons'},15891
P002-S04,P002,1,1,5,8,1,[],missile_target_assignment,area_interceptor_capacity|area_reliability_threshold|linear_objective_consistency|missile_single_assignment|public_candidate_membership,wta.linear_selected_contribution,area_interceptor_count|area_membership (if materialized|area_reliability_threshold|areas|missile_target_damage_probability|missiles|otherwise area constraints are not expanded)|targets,16219
P002-S05,P002,3,1,3,6,1,[],select_area|select_missile|select_target,public_candidate_membership_area|public_candidate_membership_missile|public_candidate_membership_target,wta.linear_selected_contribution,3778a019040f08b192137513f132a3dfb05ef488c3d47edc99ba422b84c5994f|3c0e61144e9a02323242d337b80f01092e288bb1bbcdf1fa1a40b9ef190db72d|8bb8b59bd18f9cdbe7182b56444bf17ebb5a3b62b999dad39b8f34923ae1da4c|areas'|missiles'|targets'},15942
P002-S06,P002,3,1,4,19,1,[],area_selection|missile_selection|target_selection,binary_area_selection|binary_missile_selection|binary_target_selection|public_candidate_membership,wta.linear_selected_contribution,'field': 'area_interceptor_count'}|'field': 'area_reliability_threshold'}|'field': 'missile_cost'}|'path': 'public_file_names'}|'sha256': '3778a019040f08b192137513f132a3dfb05ef488c3d47edc99ba422b84c5994f'|'sha256': '3c0e61144e9a02323242d337b80f01092e288bb1bbcdf1fa1a40b9ef190db72d'|'sha256': 'b10b4a8358d8098cd17c0f2e6e70f0de633ac2638e1a66ee225a41b355daa4b8'|area_interceptor_count'|area_reliability_threshold'|areas'|areas'}|json'|md'|missile_cost'|missiles'|missiles'}|targets'|targets'},15744
P002-S07,P002,4,2,8,13,1,[],assigned_missile_target|kill_prob|survival_prob|target_kill_prob,area_serial_mission_reliability_threshold|binary_integrality_pair|effective_kill_probability_definition|eligible_missile_target_assignment|independent_attempts_target_kill|missile_assigned_at_most_one_target|public_candidate_membership_pair|survival_probability_definition,wta.overall_mission_reliability|wta.value_weighted_efficiency_per_cost,3|area_interceptor_count'|area_reliability_threshold']|areas'|json': '29d62bef5678544b686883d3c38ddbd14bb72598dab4f6fb1f6fd8037252a6d6'|json']|md'|md': '3778a019040f08b192137513f132a3dfb05ef488c3d47edc99ba422b84c5994f'|md': '3c0e61144e9a02323242d337b80f01092e288bb1bbcdf1fa1a40b9ef190db72d'}|missiles'|p002-s07|targets'},15218
P003-S04,P003,2,1,2,6,1,[],select_hfv_candidate|select_target_candidate,binary_domain|public_candidate_membership,wta.linear_selected_contribution,'sha256': '3c87265b851a42233e502b9ca04e31e711f69b0002ef63b02a50ca05fa896e21'}|actual_trajectory_distance'|distance_weight'|hfvs'|json'|targets',15389
P003-S05,P003,2,1,1,8,2,[]|[targets],selected_hfv|selected_target,authoritative_public_candidate_membership,wta.linear_selected_contribution,hfvs'|json': 'd0ba8e678f86f60bef10e30538cfc54422a2b2a8d354d429a758e0c68fa52d12'|json']|md'|md': '6e3963ca02574e2e0c1a29d2956ba5d3da53303d2f88d56eb3ac09015a4242ee'}|md': '9aaa24af52913aa4359838233867eff91d5d38686c492c097e45b55bb70b8567'|targets'},14862
P003-S06,P003,1,1,3,7,1,[],engagement_assignment,binary_membership|target_resource_capacity|unit_single_target_assignment,wta.linear_selected_contribution,distance_weight|hfvs|normalized_act_payoff|normalized_trajectory_distance|payoff_weight|target_max_hfvs|targets,15419
