benchmark_family,sample_label,scale_tag,mop_id,full_success,build_success,solver_success,public_feasibility,objective_contract_consistency,repair_round_count,external_domain_score,result_status,failure_type
swta,MultiSWTA1_Type0_NT100_NS10_NC9_NV10_NW9_O2,NT100_NS10_NC9_NV10_NW9,MOP1,True,True,True,True,passed,0,0.781389836769,full_success,NO_FAILURE
swta,MultiSWTA1_Type0_NT100_NS10_NC9_NV10_NW9_O3,NT100_NS10_NC9_NV10_NW9,MOP1,True,True,True,True,passed,1,0.781389836769,full_success,NO_FAILURE
swta,MultiSWTA1_Type0_NT100_NS10_NC9_NV10_NW9_O4,NT100_NS10_NC9_NV10_NW9,MOP1,True,True,True,True,passed,0,0.781389836769,full_success,NO_FAILURE
swta,MultiSWTA1_Type0_NT100_NS6_NC6_NV6_NW6_O2,NT100_NS6_NC6_NV6_NW6,MOP1,True,True,True,True,passed,0,0.735597309927,full_success,NO_FAILURE
swta,MultiSWTA1_Type0_NT100_NS6_NC6_NV6_NW6_O3,NT100_NS6_NC6_NV6_NW6,MOP1,True,True,True,True,passed,0,0.735597309927,full_success,NO_FAILURE
swta,MultiSWTA1_Type0_NT100_NS6_NC6_NV6_NW6_O4,NT100_NS6_NC6_NV6_NW6,MOP1,True,True,True,True,passed,1,0.735597309927,full_success,NO_FAILURE
swta,MultiSWTA1_Type0_NT200_NS12_NC6_NV12_NW6_O2,NT200_NS12_NC6_NV12_NW6,MOP1,True,True,True,True,passed,0,0.736046945945,full_success,NO_FAILURE
swta,MultiSWTA1_Type0_NT200_NS12_NC6_NV12_NW6_O3,NT200_NS12_NC6_NV12_NW6,MOP1,True,True,True,True,passed,0,0.736046945945,full_success,NO_FAILURE
swta,MultiSWTA1_Type0_NT200_NS12_NC6_NV12_NW6_O4,NT200_NS12_NC6_NV12_NW6,MOP1,True,True,True,True,passed,0,0.736046945945,full_success,NO_FAILURE
swta,MultiSWTA1_Type0_NT200_NS15_NC12_NV15_NW12_O2,NT200_NS15_NC12_NV15_NW12,MOP1,True,True,True,True,passed,0,0.753301184324,full_success,NO_FAILURE
swta,MultiSWTA1_Type0_NT200_NS15_NC12_NV15_NW12_O3,NT200_NS15_NC12_NV15_NW12,MOP1,True,True,True,True,passed,0,0.753301184324,full_success,NO_FAILURE
swta,MultiSWTA1_Type0_NT200_NS15_NC12_NV15_NW12_O4,NT200_NS15_NC12_NV15_NW12,MOP1,True,True,True,True,passed,0,0.753301184324,full_success,NO_FAILURE
swta,MultiSWTA1_Type0_NT50_NS5_NC2_NV5_NW2_O2,NT50_NS5_NC2_NV5_NW2,MOP1,True,True,True,True,passed,0,0.779292000462,full_success,NO_FAILURE
swta,MultiSWTA1_Type0_NT50_NS5_NC2_NV5_NW2_O3,NT50_NS5_NC2_NV5_NW2,MOP1,True,True,True,True,passed,0,0.779292000462,full_success,NO_FAILURE
swta,MultiSWTA1_Type0_NT50_NS5_NC2_NV5_NW2_O4,NT50_NS5_NC2_NV5_NW2,MOP1,True,True,True,True,passed,0,0.779292000462,full_success,NO_FAILURE
swta,MultiSWTA1_Type0_NT50_NS8_NC6_NV8_NW6_O2,NT50_NS8_NC6_NV8_NW6,MOP1,True,True,True,True,passed,0,0.844707721057,full_success,NO_FAILURE
swta,MultiSWTA1_Type0_NT50_NS8_NC6_NV8_NW6_O3,NT50_NS8_NC6_NV8_NW6,MOP1,True,True,True,True,passed,0,0.844707721057,full_success,NO_FAILURE
