benchmark_family,sample_label,public_feasible,hard_violation_count,engagement_feasibility_rate,defense_effectiveness_score,resource_feasibility_score,temporal_tactical_feasibility_score,high_value_threat_protection_score,operational_traceability_score,scalar_domain_quality_score,selected_engagement_count,domain_scoring_status
swta,MultiSWTA1_Type0_NT100_NS10_NC9_NV10_NW9_O2,True,0,1.0,0.1883390206111032,1.0,1.0,0.5,1.0,0.781389836769,10,scored
swta,MultiSWTA1_Type0_NT100_NS10_NC9_NV10_NW9_O3,True,0,1.0,0.1883390206111032,1.0,1.0,0.5,1.0,0.781389836769,10,scored
swta,MultiSWTA1_Type0_NT100_NS10_NC9_NV10_NW9_O4,True,0,1.0,0.1883390206111032,1.0,1.0,0.5,1.0,0.781389836769,10,scored
swta,MultiSWTA1_Type0_NT100_NS6_NC6_NV6_NW6_O2,True,0,1.0,0.1135838595612631,1.0,1.0,0.3,1.0,0.735597309927,6,scored
swta,MultiSWTA1_Type0_NT100_NS6_NC6_NV6_NW6_O3,True,0,1.0,0.1135838595612631,1.0,1.0,0.3,1.0,0.735597309927,6,scored
swta,MultiSWTA1_Type0_NT100_NS6_NC6_NV6_NW6_O4,True,0,1.0,0.1135838595612631,1.0,1.0,0.3,1.0,0.735597309927,6,scored
swta,MultiSWTA1_Type0_NT200_NS12_NC6_NV12_NW6_O2,True,0,1.0,0.116281675671654,1.0,1.0,0.3,1.0,0.736046945945,12,scored
swta,MultiSWTA1_Type0_NT200_NS12_NC6_NV12_NW6_O3,True,0,1.0,0.116281675671654,1.0,1.0,0.3,1.0,0.736046945945,12,scored
swta,MultiSWTA1_Type0_NT200_NS12_NC6_NV12_NW6_O4,True,0,1.0,0.116281675671654,1.0,1.0,0.3,1.0,0.736046945945,12,scored
swta,MultiSWTA1_Type0_NT200_NS15_NC12_NV15_NW12_O2,True,0,1.0,0.14480710594457555,1.0,1.0,0.375,1.0,0.753301184324,15,scored
swta,MultiSWTA1_Type0_NT200_NS15_NC12_NV15_NW12_O3,True,0,1.0,0.14480710594457555,1.0,1.0,0.375,1.0,0.753301184324,15,scored
swta,MultiSWTA1_Type0_NT200_NS15_NC12_NV15_NW12_O4,True,0,1.0,0.14480710594457555,1.0,1.0,0.375,1.0,0.753301184324,15,scored
swta,MultiSWTA1_Type0_NT50_NS5_NC2_NV5_NW2_O2,True,0,1.0,0.1757520027703592,1.0,1.0,0.5,1.0,0.779292000462,5,scored
swta,MultiSWTA1_Type0_NT50_NS5_NC2_NV5_NW2_O3,True,0,1.0,0.1757520027703592,1.0,1.0,0.5,1.0,0.779292000462,5,scored
swta,MultiSWTA1_Type0_NT50_NS5_NC2_NV5_NW2_O4,True,0,1.0,0.1757520027703592,1.0,1.0,0.5,1.0,0.779292000462,5,scored
swta,MultiSWTA1_Type0_NT50_NS8_NC6_NV8_NW6_O2,True,0,1.0,0.2682463263445294,1.0,1.0,0.8,1.0,0.844707721057,8,scored
swta,MultiSWTA1_Type0_NT50_NS8_NC6_NV8_NW6_O3,True,0,1.0,0.2682463263445294,1.0,1.0,0.8,1.0,0.844707721057,8,scored
swta,MultiSWTA1_Type0_NT50_NS8_NC6_NV8_NW6_O4,False,0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0,blocked_by_core_failure
swta,MultiSWTA2_Type0_NT100_NS10_NC9_NV10_NW9_O2,True,0,1.0,0.18188010631574025,1.0,1.0,0.5,1.0,0.780313351053,10,scored
swta,MultiSWTA2_Type0_NT100_NS10_NC9_NV10_NW9_O3,True,0,1.0,0.18188010631574025,1.0,1.0,0.5,1.0,0.780313351053,10,scored
swta,MultiSWTA2_Type0_NT100_NS10_NC9_NV10_NW9_O4,True,0,1.0,0.18188010631574025,1.0,1.0,0.5,1.0,0.780313351053,10,scored
swta,MultiSWTA2_Type0_NT100_NS6_NC6_NV6_NW6_O2,True,0,1.0,0.11130529453321544,1.0,1.0,0.3,1.0,0.735217549089,6,scored
swta,MultiSWTA2_Type0_NT100_NS6_NC6_NV6_NW6_O3,True,0,1.0,0.11130529453321544,1.0,1.0,0.3,1.0,0.735217549089,6,scored
swta,MultiSWTA2_Type0_NT100_NS6_NC6_NV6_NW6_O4,True,0,1.0,0.11130529453321544,1.0,1.0,0.3,1.0,0.735217549089,6,scored
swta,MultiSWTA2_Type0_NT200_NS12_NC6_NV12_NW6_O2,True,0,1.0,0.11548571905786269,1.0,1.0,0.3,1.0,0.73591428651,12,scored
swta,MultiSWTA2_Type0_NT200_NS12_NC6_NV12_NW6_O3,True,0,1.0,0.11548571905786269,1.0,1.0,0.3,1.0,0.73591428651,12,scored
swta,MultiSWTA2_Type0_NT200_NS12_NC6_NV12_NW6_O4,True,0,1.0,0.11548571905786269,1.0,1.0,0.3,1.0,0.73591428651,12,scored
swta,MultiSWTA2_Type0_NT200_NS15_NC12_NV15_NW12_O2,True,0,1.0,0.15894065437191493,1.0,1.0,0.375,1.0,0.755656775729,15,scored
swta,MultiSWTA2_Type0_NT200_NS15_NC12_NV15_NW12_O3,True,0,1.0,0.15894065437191493,1.0,1.0,0.375,1.0,0.755656775729,15,scored
swta,MultiSWTA2_Type0_NT200_NS15_NC12_NV15_NW12_O4,True,0,1.0,0.15894065437191493,1.0,1.0,0.375,1.0,0.755656775729,15,scored
swta,MultiSWTA2_Type0_NT50_NS5_NC2_NV5_NW2_O2,True,0,1.0,0.1868876402446978,1.0,1.0,0.5,1.0,0.781147940041,5,scored
swta,MultiSWTA2_Type0_NT50_NS5_NC2_NV5_NW2_O3,True,0,1.0,0.1868876402446978,1.0,1.0,0.5,1.0,0.781147940041,5,scored
swta,MultiSWTA2_Type0_NT50_NS5_NC2_NV5_NW2_O4,True,0,1.0,0.1868876402446978,1.0,1.0,0.5,1.0,0.781147940041,5,scored
swta,MultiSWTA2_Type0_NT50_NS8_NC6_NV8_NW6_O2,True,0,1.0,0.30910592254569624,1.0,1.0,0.8,1.0,0.851517653758,8,scored
swta,MultiSWTA2_Type0_NT50_NS8_NC6_NV8_NW6_O3,True,0,1.0,0.30910592254569624,1.0,1.0,0.8,1.0,0.851517653758,8,scored
swta,MultiSWTA2_Type0_NT50_NS8_NC6_NV8_NW6_O4,True,0,1.0,0.30910592254569624,1.0,1.0,0.8,1.0,0.851517653758,8,scored
