benchmark_family,sample_label,llm_call_count,input_tokens,output_tokens,total_tokens,modeling_time_seconds,solver_wall_time_seconds,total_wall_time_seconds,repair_round_count,solver_status
swta,MultiSWTA1_Type0_NT100_NS10_NC9_NV10_NW9_O2,4,122856,25026,147882,312.99,0.068,313.813,0,solved
swta,MultiSWTA1_Type0_NT100_NS10_NC9_NV10_NW9_O3,7,198414,44323,242737,491.417,0.069,492.4,1,solved
swta,MultiSWTA1_Type0_NT100_NS10_NC9_NV10_NW9_O4,4,132623,28697,161320,372.362,0.053,373.066,0,solved
swta,MultiSWTA1_Type0_NT100_NS6_NC6_NV6_NW6_O2,4,121914,31414,153328,404.624,0.02,404.85,0,solved
swta,MultiSWTA1_Type0_NT100_NS6_NC6_NV6_NW6_O3,5,126386,33111,159497,433.681,0.02,433.911,0,solved
swta,MultiSWTA1_Type0_NT100_NS6_NC6_NV6_NW6_O4,7,206370,38674,245044,451.834,0.021,452.067,1,solved
swta,MultiSWTA1_Type0_NT200_NS12_NC6_NV12_NW6_O2,4,123541,24509,148050,296.448,0.115,298.754,0,solved
swta,MultiSWTA1_Type0_NT200_NS12_NC6_NV12_NW6_O3,5,129587,24680,154267,351.732,0.12,354.286,0,solved
swta,MultiSWTA1_Type0_NT200_NS12_NC6_NV12_NW6_O4,4,132929,33137,166066,436.82,0.099,439.066,0,solved
swta,MultiSWTA1_Type0_NT200_NS15_NC12_NV15_NW12_O2,8,210547,42930,253477,370.347,0.198,374.433,0,solved
swta,MultiSWTA1_Type0_NT200_NS15_NC12_NV15_NW12_O3,5,129704,28921,158625,429.877,0.171,433.426,0,solved
swta,MultiSWTA1_Type0_NT200_NS15_NC12_NV15_NW12_O4,4,131321,31794,163115,375.287,0.222,379.678,0,solved
swta,MultiSWTA1_Type0_NT50_NS5_NC2_NV5_NW2_O2,4,123040,26755,149795,273.435,0.01,273.512,0,solved
swta,MultiSWTA1_Type0_NT50_NS5_NC2_NV5_NW2_O3,5,126727,32249,158976,348.509,0.007,348.586,0,solved
swta,MultiSWTA1_Type0_NT50_NS5_NC2_NV5_NW2_O4,5,130251,27358,157609,364.081,0.006,364.152,0,solved
swta,MultiSWTA1_Type0_NT50_NS8_NC6_NV8_NW6_O2,4,125858,32027,157885,351.272,0.017,351.524,0,solved
swta,MultiSWTA1_Type0_NT50_NS8_NC6_NV8_NW6_O3,4,129533,24426,153959,315.879,0.013,316.066,0,solved
swta,MultiSWTA1_Type0_NT50_NS8_NC6_NV8_NW6_O4,5,125987,25689,151676,364.323,0,364.323,1,unavailable
swta,MultiSWTA2_Type0_NT100_NS10_NC9_NV10_NW9_O2,4,124376,37086,161462,448.305,0.038,448.981,0,solved
swta,MultiSWTA2_Type0_NT100_NS10_NC9_NV10_NW9_O3,4,128711,31302,160013,379.59,0.041,380.302,0,solved
swta,MultiSWTA2_Type0_NT100_NS10_NC9_NV10_NW9_O4,4,133595,31817,165412,374.691,0.04,375.381,0,solved
swta,MultiSWTA2_Type0_NT100_NS6_NC6_NV6_NW6_O2,4,121891,21958,143849,262.904,0.019,263.121,0,solved
swta,MultiSWTA2_Type0_NT100_NS6_NC6_NV6_NW6_O3,5,130224,32383,162607,526.441,0.02,526.663,0,solved
swta,MultiSWTA2_Type0_NT100_NS6_NC6_NV6_NW6_O4,6,169940,37578,207518,388.99,0.019,389.212,1,solved
swta,MultiSWTA2_Type0_NT200_NS12_NC6_NV12_NW6_O2,8,185434,30425,215859,368.4,0.112,370.576,1,solved
swta,MultiSWTA2_Type0_NT200_NS12_NC6_NV12_NW6_O3,4,129661,27087,156748,315.01,0.116,317.205,0,solved
swta,MultiSWTA2_Type0_NT200_NS12_NC6_NV12_NW6_O4,4,132485,31777,164262,372.146,0.12,374.312,0,solved
swta,MultiSWTA2_Type0_NT200_NS15_NC12_NV15_NW12_O2,4,124621,30275,154896,361.794,0.161,365.431,0,solved
swta,MultiSWTA2_Type0_NT200_NS15_NC12_NV15_NW12_O3,4,129897,32341,162238,429.918,0.148,433.362,0,solved
swta,MultiSWTA2_Type0_NT200_NS15_NC12_NV15_NW12_O4,4,132708,31194,163902,403.939,0.147,407.372,0,solved
swta,MultiSWTA2_Type0_NT50_NS5_NC2_NV5_NW2_O2,4,120926,28847,149773,347.162,0.007,347.237,0,solved
swta,MultiSWTA2_Type0_NT50_NS5_NC2_NV5_NW2_O3,4,125887,25405,151292,320.778,0.006,320.859,0,solved
swta,MultiSWTA2_Type0_NT50_NS5_NC2_NV5_NW2_O4,4,131373,33263,164636,419.754,0.007,419.833,0,solved
swta,MultiSWTA2_Type0_NT50_NS8_NC6_NV8_NW6_O2,4,123504,26336,149840,324.285,0.017,324.545,0,solved
swta,MultiSWTA2_Type0_NT50_NS8_NC6_NV8_NW6_O3,4,127387,36153,163540,381.612,0.018,381.83,0,solved
swta,MultiSWTA2_Type0_NT50_NS8_NC6_NV8_NW6_O4,4,132626,34287,166913,388.516,0.016,388.72,0,solved
swta,MultiSWTA2_Type1_NT100_NS10_NC9_NV10_NW9_O2,4,123768,26141,149909,283.388,0.054,284.058,0,solved
swta,MultiSWTA2_Type1_NT100_NS10_NC9_NV10_NW9_O3,10,270887,63197,334084,725.538,0.053,726.222,2,solved
swta,MultiSWTA2_Type1_NT100_NS10_NC9_NV10_NW9_O4,7,205383,37122,242505,429.629,0.056,430.327,1,solved
swta,MultiSWTA2_Type1_NT100_NS6_NC6_NV6_NW6_O2,4,122134,23538,145672,258.782,0.053,259.093,0,solved
swta,MultiSWTA2_Type1_NT100_NS6_NC6_NV6_NW6_O3,4,126425,34033,160458,378.236,0.019,378.45,0,solved
swta,MultiSWTA2_Type1_NT100_NS6_NC6_NV6_NW6_O4,4,129479,27077,156556,327.166,0.019,327.384,0,solved
swta,MultiSWTA2_Type1_NT200_NS12_NC6_NV12_NW6_O2,4,125121,27151,152272,339.156,0.135,341.547,0,solved
swta,MultiSWTA2_Type1_NT200_NS12_NC6_NV12_NW6_O3,4,129542,31712,161254,351.392,0.138,353.802,0,solved
swta,MultiSWTA2_Type1_NT200_NS12_NC6_NV12_NW6_O4,4,135734,35102,170836,446.25,0.129,448.667,0,solved
swta,MultiSWTA2_Type1_NT200_NS15_NC12_NV15_NW12_O2,4,125203,27885,153088,395.949,0.229,399.907,0,solved
swta,MultiSWTA2_Type1_NT200_NS15_NC12_NV15_NW12_O3,4,128621,35251,163872,448.975,0.235,452.933,0,solved
swta,MultiSWTA2_Type1_NT200_NS15_NC12_NV15_NW12_O4,4,133031,28115,161146,362.262,0.229,366.022,0,solved
swta,MultiSWTA2_Type1_NT50_NS5_NC2_NV5_NW2_O2,4,122294,27281,149575,316.536,0.007,316.612,0,solved
swta,MultiSWTA2_Type1_NT50_NS5_NC2_NV5_NW2_O3,4,125679,32353,158032,354.443,0.009,354.53,0,solved
swta,MultiSWTA2_Type1_NT50_NS5_NC2_NV5_NW2_O4,4,129731,35588,165319,377.856,0.011,377.949,0,solved
swta,MultiSWTA2_Type1_NT50_NS8_NC6_NV8_NW6_O2,5,125764,26299,152063,310.939,0.017,311.14,0,solved
swta,MultiSWTA2_Type1_NT50_NS8_NC6_NV8_NW6_O3,4,127686,29236,156922,324.42,0.016,324.627,0,solved
swta,MultiSWTA2_Type1_NT50_NS8_NC6_NV8_NW6_O4,6,170130,37229,207359,423.81,0.014,424.018,1,solved
swta,MultiSWTA3_Type0_NT100_NS10_NC9_NV10_NW9_O2,5,124251,28924,153175,384.413,0.003,384.506,0,solved
swta,MultiSWTA3_Type0_NT100_NS10_NC9_NV10_NW9_O3,5,132072,31358,163430,592.718,0.003,592.799,0,solved
swta,MultiSWTA3_Type0_NT100_NS10_NC9_NV10_NW9_O4,4,134110,28702,162812,366.855,0.003,366.931,0,solved
swta,MultiSWTA3_Type0_NT100_NS6_NC6_NV6_NW6_O2,5,122428,32973,155401,414.152,0.004,414.211,0,solved
swta,MultiSWTA3_Type0_NT100_NS6_NC6_NV6_NW6_O3,4,128497,31445,159942,385.519,0.003,385.573,0,solved
swta,MultiSWTA3_Type0_NT100_NS6_NC6_NV6_NW6_O4,4,130439,27066,157505,352.787,0.004,352.847,0,solved
swta,MultiSWTA3_Type0_NT200_NS12_NC6_NV12_NW6_O2,11,255477,49385,304862,686.576,0.039,686.864,2,solved
swta,MultiSWTA3_Type0_NT200_NS12_NC6_NV12_NW6_O3,4,130528,28959,159487,362.701,0.041,362.994,0,solved
swta,MultiSWTA3_Type0_NT200_NS12_NC6_NV12_NW6_O4,4,134456,25218,159674,317.61,0.069,317.951,0,solved
swta,MultiSWTA3_Type0_NT200_NS15_NC12_NV15_NW12_O2,4,125353,33076,158429,436.956,0.028,437.227,0,solved
swta,MultiSWTA3_Type0_NT200_NS15_NC12_NV15_NW12_O3,7,199309,38680,237989,434.967,0.014,435.234,1,solved
swta,MultiSWTA3_Type0_NT200_NS15_NC12_NV15_NW12_O4,6,134022,31865,165887,602.843,0.012,603.099,0,solved
swta,MultiSWTA3_Type0_NT50_NS5_NC2_NV5_NW2_O2,4,123082,26171,149253,329.941,0.002,329.966,0,solved
swta,MultiSWTA3_Type0_NT50_NS5_NC2_NV5_NW2_O3,5,126266,29547,155813,562.585,0.001,562.615,0,solved
swta,MultiSWTA3_Type0_NT50_NS5_NC2_NV5_NW2_O4,7,204879,40051,244930,421.225,0.001,421.247,1,solved
swta,MultiSWTA3_Type0_NT50_NS8_NC6_NV8_NW6_O2,4,123590,33416,157006,427.445,0.002,427.467,0,solved
swta,MultiSWTA3_Type0_NT50_NS8_NC6_NV8_NW6_O3,10,264975,58996,323971,752.838,0.001,752.861,2,solved
swta,MultiSWTA3_Type0_NT50_NS8_NC6_NV8_NW6_O4,7,208777,34421,243198,388.08,0.002,388.097,1,solved
swta,MultiSWTA3_Type1_NT100_NS10_NC9_NV10_NW9_O2,5,125429,30419,155848,403.762,0.042,404.044,0,solved
