benchmark_family,sample_label,result_status,failure_type,failure_reason,build_failure,solver_failure,solution_view_failure,public_feasibility_violation,counted_in_denominator
swta,MultiSWTA1_Type0_NT100_NS10_NC9_NV10_NW9_O2,full_success,NO_FAILURE,The bundle satisfied the P8.1.2 core completion contract.,False,False,False,False,True
swta,MultiSWTA1_Type0_NT100_NS10_NC9_NV10_NW9_O3,full_success,NO_FAILURE,The bundle satisfied the P8.1.2 core completion contract.,False,False,False,False,True
swta,MultiSWTA1_Type0_NT100_NS10_NC9_NV10_NW9_O4,full_success,NO_FAILURE,The bundle satisfied the P8.1.2 core completion contract.,False,False,False,False,True
swta,MultiSWTA1_Type0_NT100_NS6_NC6_NV6_NW6_O2,full_success,NO_FAILURE,The bundle satisfied the P8.1.2 core completion contract.,False,False,False,False,True
swta,MultiSWTA1_Type0_NT100_NS6_NC6_NV6_NW6_O3,full_success,NO_FAILURE,The bundle satisfied the P8.1.2 core completion contract.,False,False,False,False,True
swta,MultiSWTA1_Type0_NT100_NS6_NC6_NV6_NW6_O4,full_success,NO_FAILURE,The bundle satisfied the P8.1.2 core completion contract.,False,False,False,False,True
swta,MultiSWTA1_Type0_NT200_NS12_NC6_NV12_NW6_O2,full_success,NO_FAILURE,The bundle satisfied the P8.1.2 core completion contract.,False,False,False,False,True
swta,MultiSWTA1_Type0_NT200_NS12_NC6_NV12_NW6_O3,full_success,NO_FAILURE,The bundle satisfied the P8.1.2 core completion contract.,False,False,False,False,True
swta,MultiSWTA1_Type0_NT200_NS12_NC6_NV12_NW6_O4,full_success,NO_FAILURE,The bundle satisfied the P8.1.2 core completion contract.,False,False,False,False,True
swta,MultiSWTA1_Type0_NT200_NS15_NC12_NV15_NW12_O2,full_success,NO_FAILURE,The bundle satisfied the P8.1.2 core completion contract.,False,False,False,False,True
swta,MultiSWTA1_Type0_NT200_NS15_NC12_NV15_NW12_O3,full_success,NO_FAILURE,The bundle satisfied the P8.1.2 core completion contract.,False,False,False,False,True
swta,MultiSWTA1_Type0_NT200_NS15_NC12_NV15_NW12_O4,full_success,NO_FAILURE,The bundle satisfied the P8.1.2 core completion contract.,False,False,False,False,True
swta,MultiSWTA1_Type0_NT50_NS5_NC2_NV5_NW2_O2,full_success,NO_FAILURE,The bundle satisfied the P8.1.2 core completion contract.,False,False,False,False,True
