benchmark_family,sample_label,profile_id,reference_method_id,candidate_score,reference_score,relative_quality,reference_gap_score,gap_status,gap_reason
swta,MultiSWTA1_Type0_NT100_NS10_NC9_NV10_NW9_O2,W_balanced,unavailable,0.722085,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS10_NC9_NV10_NW9_O2,W_effectiveness,unavailable,0.51917,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS10_NC9_NV10_NW9_O2,W_high_value_protection,unavailable,0.647085,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS10_NC9_NV10_NW9_O2,W_resource_conservative,unavailable,0.812668,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS10_NC9_NV10_NW9_O2,W_timeliness,unavailable,0.812668,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS10_NC9_NV10_NW9_O3,W_balanced,unavailable,0.722085,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS10_NC9_NV10_NW9_O3,W_effectiveness,unavailable,0.51917,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS10_NC9_NV10_NW9_O3,W_high_value_protection,unavailable,0.647085,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS10_NC9_NV10_NW9_O3,W_resource_conservative,unavailable,0.812668,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS10_NC9_NV10_NW9_O3,W_timeliness,unavailable,0.812668,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS10_NC9_NV10_NW9_O4,W_balanced,unavailable,0.722085,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS10_NC9_NV10_NW9_O4,W_effectiveness,unavailable,0.51917,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS10_NC9_NV10_NW9_O4,W_high_value_protection,unavailable,0.647085,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS10_NC9_NV10_NW9_O4,W_resource_conservative,unavailable,0.812668,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS10_NC9_NV10_NW9_O4,W_timeliness,unavailable,0.812668,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS6_NC6_NV6_NW6_O2,W_balanced,unavailable,0.673396,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS6_NC6_NV6_NW6_O2,W_effectiveness,unavailable,0.451792,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS6_NC6_NV6_NW6_O2,W_high_value_protection,unavailable,0.568396,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS6_NC6_NV6_NW6_O2,W_resource_conservative,unavailable,0.787717,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS6_NC6_NV6_NW6_O2,W_timeliness,unavailable,0.787717,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS6_NC6_NV6_NW6_O3,W_balanced,unavailable,0.673396,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS6_NC6_NV6_NW6_O3,W_effectiveness,unavailable,0.451792,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS6_NC6_NV6_NW6_O3,W_high_value_protection,unavailable,0.568396,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS6_NC6_NV6_NW6_O3,W_resource_conservative,unavailable,0.787717,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS6_NC6_NV6_NW6_O3,W_timeliness,unavailable,0.787717,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS6_NC6_NV6_NW6_O4,W_balanced,unavailable,0.673396,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS6_NC6_NV6_NW6_O4,W_effectiveness,unavailable,0.451792,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS6_NC6_NV6_NW6_O4,W_high_value_protection,unavailable,0.568396,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS6_NC6_NV6_NW6_O4,W_resource_conservative,unavailable,0.787717,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT100_NS6_NC6_NV6_NW6_O4,W_timeliness,unavailable,0.787717,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT200_NS12_NC6_NV12_NW6_O2,W_balanced,unavailable,0.674071,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT200_NS12_NC6_NV12_NW6_O2,W_effectiveness,unavailable,0.453141,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT200_NS12_NC6_NV12_NW6_O2,W_high_value_protection,unavailable,0.569071,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT200_NS12_NC6_NV12_NW6_O2,W_resource_conservative,unavailable,0.788256,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT200_NS12_NC6_NV12_NW6_O2,W_timeliness,unavailable,0.788256,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT200_NS12_NC6_NV12_NW6_O3,W_balanced,unavailable,0.674071,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT200_NS12_NC6_NV12_NW6_O3,W_effectiveness,unavailable,0.453141,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT200_NS12_NC6_NV12_NW6_O3,W_high_value_protection,unavailable,0.569071,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT200_NS12_NC6_NV12_NW6_O3,W_resource_conservative,unavailable,0.788256,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT200_NS12_NC6_NV12_NW6_O3,W_timeliness,unavailable,0.788256,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
swta,MultiSWTA1_Type0_NT200_NS12_NC6_NV12_NW6_O4,W_balanced,unavailable,0.674071,unavailable,unavailable,unavailable,unavailable,No matching reference/context WTA-domain report was found.
