Family,n,Required coverage,Public fidelity,Objective / 5,Constraint / 5,Semantic / 5,Main signal
P001,4,0.550,1.00,2.500,3.750,3.750,-
P002,4,0.533,1.00,2.500,3.750,3.750,-
P003,4,0.421,1.00,2.500,3.750,3.750,-
P004,4,0.234,1.00,5.000,3.750,3.750,LOW_STRUCTURE_RECOVERY
P005,4,0.690,1.00,5.000,5.000,3.750,-
P006,4,0.389,1.00,5.000,5.000,3.750,-
P007,4,0.706,1.00,5.000,5.000,3.750,-
P008,4,0.188,1.00,2.500,3.750,3.750,LOW_STRUCTURE_RECOVERY
P009,4,0.371,1.00,4.062,5.000,3.750,LOW_STRUCTURE_RECOVERY
P010,4,0.438,1.00,3.750,5.000,3.750,-
P011,4,0.368,1.00,3.750,3.750,2.500,LOW_STRUCTURE_RECOVERY
P012,4,0.450,1.00,3.750,5.000,3.750,-
P013,4,0.400,1.00,5.000,5.000,3.750,-
P014,4,0.435,1.00,3.750,5.000,3.750,-
P015,4,0.484,1.00,3.750,5.000,2.500,-
P016,4,0.182,1.00,2.500,2.500,3.750,LOW_STRUCTURE_RECOVERY
P017,4,0.344,1.00,5.000,5.000,3.750,LOW_STRUCTURE_RECOVERY
P018,4,0.392,1.00,3.750,5.000,3.750,-
