Family,n,Required coverage,Public fidelity,Objective / 5,Constraint / 5,Semantic / 5,Stress robustness
P001,1,0.550,1.00,2.500,3.750,3.750,0.973
P002,1,0.533,1.00,2.500,3.750,3.750,0.973
P003,1,0.421,1.00,2.500,3.750,3.750,0.973
P004,1,0.217,1.00,5.000,3.750,3.750,0.961
P005,1,0.667,1.00,5.000,5.000,3.750,0.967
P006,1,0.417,1.00,5.000,5.000,3.750,1.000
P007,1,0.706,1.00,5.000,5.000,3.750,1.000
P008,1,0.188,0.75,2.500,3.750,3.750,0.930
P009,1,0.371,0.75,3.750,5.000,3.750,0.918
P010,1,0.438,1.00,3.750,5.000,3.750,0.972
P011,1,0.368,1.00,3.750,3.750,2.500,1.000
P012,1,0.450,1.00,3.750,5.000,3.750,0.973
P013,1,0.400,1.00,5.000,5.000,3.750,1.000
P014,1,0.435,0.75,3.750,5.000,3.750,0.931
P015,1,0.484,1.00,3.750,5.000,2.500,0.973
P016,1,0.182,1.00,2.500,2.500,3.750,1.000
P017,1,0.333,1.00,5.000,5.000,3.750,0.967
P018,1,0.405,1.00,3.750,5.000,3.750,0.973
