Family,Coverage difference,Fidelity difference,Objective difference,Constraint difference,Semantic difference,Robustness
P001,0.000,0.00,0.000,0.000,0.000,0.973
P002,0.000,0.00,0.000,0.000,0.000,0.973
P003,0.000,0.00,0.000,0.000,0.000,0.973
P004,0.017,0.00,0.000,0.000,0.000,0.961
P005,0.023,0.00,0.000,0.000,0.000,0.967
P006,-0.028,0.00,0.000,0.000,0.000,1.000
P007,0.000,0.00,0.000,0.000,0.000,1.000
P008,0.001,0.25,0.000,0.000,0.000,0.930
P009,0.000,0.25,0.312,0.000,0.000,0.918
P010,0.001,0.00,0.000,0.000,0.000,0.972
P011,0.000,0.00,0.000,0.000,0.000,1.000
P012,0.000,0.00,0.000,0.000,0.000,0.973
P013,0.000,0.00,0.000,0.000,0.000,1.000
P014,0.000,0.25,0.000,0.000,0.000,0.931
P015,0.000,0.00,0.000,0.000,0.000,0.973
P016,0.000,0.00,0.000,0.000,0.000,1.000
P017,0.011,0.00,0.000,0.000,0.000,0.967
P018,-0.013,0.00,0.000,0.000,0.000,0.973
