Method,MOP,N,Full success,Public feasible,Scalar domain quality
WTA-MAFA,MOP1,18,94.4%,94.4%,0.767
WTA-MAFA,MOP2,36,100.0%,100.0%,0.773
WTA-MAFA,MOP3,36,100.0%,100.0%,0.735
WTA-MAFA,MOP4,36,97.2%,97.2%,0.743
WTA-MAFA,MOP5,36,97.2%,97.2%,0.716
OR-LLM-Agent,MOP1,18,61.1%,61.1%,0.600
OR-LLM-Agent,MOP2,36,66.7%,66.7%,0.600
OR-LLM-Agent,MOP3,36,52.8%,52.8%,0.600
OR-LLM-Agent,MOP4,36,69.4%,69.4%,0.600
OR-LLM-Agent,MOP5,36,69.4%,69.4%,0.600
CoE,MOP1,18,50.0%,38.9%,0.600
CoE,MOP2,36,36.1%,19.4%,0.613
CoE,MOP3,36,38.9%,27.8%,0.625
CoE,MOP4,36,36.1%,19.4%,0.648
CoE,MOP5,36,19.4%,11.1%,0.600
OptiMUS v0.3,MOP1,18,38.9%,27.8%,0.652
OptiMUS v0.3,MOP2,36,19.4%,19.4%,0.600
OptiMUS v0.3,MOP3,36,22.2%,19.4%,0.647
OptiMUS v0.3,MOP4,36,22.2%,16.7%,0.636
OptiMUS v0.3,MOP5,36,19.4%,16.7%,0.622
