Benchmark,Scale/MOP,Method,N,Full success,Public feasible,Domain quality,Ref gap score,Solver timeout,Solver time
madra,P10_multi3_targets500,WTA-MAFA v0.4,1,1,1,0.702666666667,NA,0,12.052
madra,P10_single_targets500,WTA-MAFA v0.4,1,1,1,0.702666666667,NA,0,6.058
madra,P1_multi3_targets10,WTA-MAFA v0.4,1,1,1,0.861666666667,NA,0,0.009
madra,P1_single_targets10,WTA-MAFA v0.4,1,1,1,0.861666666667,NA,0,0.009
madra,P2_multi3_targets20,WTA-MAFA v0.4,1,1,1,0.850833333333,NA,0,0.017
madra,P2_single_targets20,WTA-MAFA v0.4,1,1,1,0.850833333333,NA,0,0.017
madra,P3_multi3_targets24,WTA-MAFA v0.4,1,1,1,0.816666666667,NA,0,0.019
madra,P3_single_targets24,WTA-MAFA v0.4,1,1,1,0.816666666667,NA,0,0.017
madra,P4_multi3_targets24,WTA-MAFA v0.4,1,1,1,0.816666666667,NA,0,0.026
madra,P4_single_targets24,WTA-MAFA v0.4,1,1,1,0.85,NA,0,0.022
madra,P5_multi3_targets50,WTA-MAFA v0.4,1,1,1,0.810666666667,NA,0,0.066
madra,P5_single_targets50,WTA-MAFA v0.4,1,0,0,NA,NA,0,0
madra,P6_multi3_targets50,WTA-MAFA v0.4,1,1,1,0.810666666667,NA,0,0.064
madra,P6_single_targets50,WTA-MAFA v0.4,1,0,0,NA,NA,0,0
madra,P7_multi3_targets100,WTA-MAFA v0.4,1,1,1,0.756833333333,NA,0,0.2
madra,P7_single_targets100,WTA-MAFA v0.4,1,0,0,NA,NA,0,0
madra,P8_multi3_targets100,WTA-MAFA v0.4,1,1,1,0.756833333333,NA,0,0.224
madra,P8_single_targets100,WTA-MAFA v0.4,1,1,1,0.756833333333,NA,0,0.224
madra,P9_multi3_targets200,WTA-MAFA v0.4,1,1,1,0.734166666667,NA,0,1.481
madra,P9_single_targets200,WTA-MAFA v0.4,1,0,0,NA,NA,0,0
swta,MOP1_NT100_NS10_NC9_NV10_NW9_O2,WTA-MAFA v0.4,1,1,1,0.781389836769,NA,0,0.822
swta,MOP1_NT100_NS10_NC9_NV10_NW9_O3,WTA-MAFA v0.4,1,1,1,0.781389836769,NA,0,0.983
swta,MOP1_NT100_NS10_NC9_NV10_NW9_O4,WTA-MAFA v0.4,1,1,1,0.781389836769,NA,0,0.703
swta,MOP1_NT100_NS6_NC6_NV6_NW6_O2,WTA-MAFA v0.4,1,1,1,0.735597309927,NA,0,0.226
swta,MOP1_NT100_NS6_NC6_NV6_NW6_O3,WTA-MAFA v0.4,1,1,1,0.735597309927,NA,0,0.23
swta,MOP1_NT100_NS6_NC6_NV6_NW6_O4,WTA-MAFA v0.4,1,1,1,0.735597309927,NA,0,0.232
swta,MOP1_NT200_NS12_NC6_NV12_NW6_O2,WTA-MAFA v0.4,1,1,1,0.736046945945,NA,0,2.306
swta,MOP1_NT200_NS12_NC6_NV12_NW6_O3,WTA-MAFA v0.4,1,1,1,0.736046945945,NA,0,2.554
swta,MOP1_NT200_NS12_NC6_NV12_NW6_O4,WTA-MAFA v0.4,1,1,1,0.736046945945,NA,0,2.246
swta,MOP1_NT200_NS15_NC12_NV15_NW12_O2,WTA-MAFA v0.4,1,1,1,0.753301184324,NA,0,4.086
swta,MOP1_NT200_NS15_NC12_NV15_NW12_O3,WTA-MAFA v0.4,1,1,1,0.753301184324,NA,0,3.55
swta,MOP1_NT200_NS15_NC12_NV15_NW12_O4,WTA-MAFA v0.4,1,1,1,0.753301184324,NA,0,4.391
swta,MOP1_NT50_NS5_NC2_NV5_NW2_O2,WTA-MAFA v0.4,1,1,1,0.779292000462,NA,0,0.077
swta,MOP1_NT50_NS5_NC2_NV5_NW2_O3,WTA-MAFA v0.4,1,1,1,0.779292000462,NA,0,0.077
swta,MOP1_NT50_NS5_NC2_NV5_NW2_O4,WTA-MAFA v0.4,1,1,1,0.779292000462,NA,0,0.07
swta,MOP1_NT50_NS8_NC6_NV8_NW6_O2,WTA-MAFA v0.4,1,1,1,0.844707721057,NA,0,0.252
swta,MOP1_NT50_NS8_NC6_NV8_NW6_O3,WTA-MAFA v0.4,1,1,1,0.844707721057,NA,0,0.187
